titles,category
 쪽대본 사라졌다  넷플릭스  년이 한국 콘텐츠 생태계에 남긴 것,Culture
온코닉테라퓨틱스        신약  자스타프라잔    임상  상 진입,Culture
 외식 없이 못살아  값비싼 식당 대신 배달 테이크아웃  좋아요 ,Culture
 날씨  내일 서울 아침 영하  도 성탄절까지 강추위,Culture
 독자산행기  부모님의 끈기에 놀란 무척산 등산,Culture
 독자산행기  백발이 된 친구들과 오대산 산행,Culture
이현이  부부싸움 중 잠들어     희귀 난치병  이것  앓는다는데  뭐길래 ,Culture
 커피 차 섭취  두경부암 예방에 효과 ,Culture
크리스마스 앞두고 닥친 한파에  이 질환  유의해야,Culture
연출가 하차 진행 미숙 총체적 난국  투란도트 ,Culture
 측  비상계엄 하나로 수사에 탄핵    답답하다 토로 ,Culture
 몸짱 되려  이것  사용했다가  고환 작아진다     의사 경고  심장마비 위험도,Culture
트럼프  우크라  빨리 끝내야  임기 초기 푸틴과의 만남 시사,World
트럼프  또  그린란드 사겠다  눈독,World
시리아 정상국가화 안간힘 서방  반군과 협력 저울질,World
독일 성탄마켓에 차량 돌진 용의자는 사우디 출신 의사,World
트럼프 경제자문위원장에 스티븐 미런 전 재무부 경제정책고문,World
계엄공백 메우기   외교차관      방문,World
  탄핵 시위  이렇게 즐거워도 되나       한국  패러디 깃발  조명,World
필리핀  미국 타이폰 미사일체계 도입키로 중국  도발 행동 ,World
트럼프  취임 첫날  트랜스젠더 추방 행정명령에 사인할 것   현장영상 ,World
  전 국민 틱톡 사용 금지  알바니아 충격요법  왜              ,World
  혼다 닛산  합병 추진 공식 발표      년  월 지주사 설립  종합 ,World
파나마운하 환수 이어  그린란드도 소유해야 ,World
 방산 과점 깨지나   팰런티어 컨소 추진,World
말레이의  태국 전 총리 기용 에 미얀마 저항 세력이 반발한 까닭은,World
  중고차 전성시대 애프터마켓 폭풍성장,World
가스비 폭등 쪼개진 유럽,World
 국방차관 지명  콜비 과거 한국 발언 눈길 당시에도  비판 우려 ,World
파나마운하가 뭐길래 트럼프  주인 행세 에 외교문제 비화,World
  단기국채     금리  붕괴  일본식 장기불황 우려 커졌다,World
트럼프  국방부 정책차관에 콜비 지명 주한미군 철수 현실화하나,World
관세 무기화 이어 우방국 주권 위협 거침 없는    우선주의 ,World
 트럼프 관세부터 비트코인 급등까지  올 한해 설명하는  가지 이슈는 ,World
 내년 소행성 샘플 수집  중국  우주 굴기  가속화한다,World
    러시아 수출 위해 무기공장 풀가동 ,World
  혼다 닛산  합병 추진 공식 발표      년  월 지주사 설립 ,World
트럼프  또  그린란드 사겠다  눈독,World
필리핀    타이폰 미사일체계 도입키로    도발 위험 행동 ,World
필리핀  중국 견제  타이폰 도입    대립 조장 위험한 행동  상보 ,World
트럼프   에  바가지   운하 반환 경고에 파나마  우리 것 양보 못 해 ,World
 비트코인의 새로운 위협  양자컴퓨터 해킹 ,World
   명 사라진  최악의 미스터리  말레이    년 전 실종된 여객기 다시 찾는다,World
어쩐지 다이아몬드값 떨어진다 했는데 중국서 이런 일 때문에,World
일본  반도체 배터리 수급 문제 발생 땐 국가가 공장 인수해 비상 상황 해결 ,World
혼다 닛산  합병 논의 본격화 경영 주도권은 혼다가 갖기로,World
파나마 운하 나토 국방비 트럼프  전방위 협박 ,World
양자컴 해킹 우려  수조달러 손실  경고도,World
                   샤오미 화웨이도 뛰어든다     휴머노이드 로봇  각축전 ,World
 영상    밤하늘 수놓은  유성 폭발  알고보니 추락한   인공위성,World
 인도계 민주당은 옛말  트럼프  기 행정부서  인도계 부상 ,World
 비트코인 랠리에 예상 못한 위험 양자컴퓨팅 해킹 ,World
트럼프  이번엔  그린란드 소유해야  캐나다   번째 주 이어 논란,World
     북한  러시아에 무기 주려    개 군수 공장 풀가동 ,World
     비트코인 랠리에 예상못한 위험 양자컴퓨터 해킹 ,World
진심이냐 허세냐 파나마 운하 반환 등 트럼프 도발 현실성은,World
        무기공장    곳 풀가동해 러시아에 수출 ,World
대중 집회 복귀한 트럼프    분 내내 거짓 주장  자화자찬  반대편 공격,World
     서비스 콘텐츠 만족도    유플러스        순,IT
유상임 장관  통신비 경감 종합 대책  새해 초 나온다 ,IT
  텔레콤          서 혁신적인    미래기술 선보인다,IT
  재단  구두 수선비 모아 기부한 김주술 최영심 부부에  나눔인상  수여,IT
 오픈    새 모델 개발 지연 학습에 필요한 데이터 등 한계 ,IT
     올해 신규 스트리머    만 전년      ,IT
한국전자통신연구원  메모리 요구량 줄인 양자 에뮬레이터 개발,IT
유상임 과기장관  비상계엄 동의 어려웠다 꼭 이 방법밖에 없었나 생각 ,IT
고려아연  임시주총 안건 확정  이사 수 제한하고 집행임원제 수용 ,IT
 파월 쇼크 에  가상자산 다시 찬바람,IT
   비트코인 초강대국 속도       등 스테이블코인 주목,IT
     특실     할인  믿고 예매했더니 특정 상품만 할인,IT
장인화  첫 인사 임원     줄였다,IT
대기중 탄소포집 투자 확대  아직 유의미한 효과 없어 ,IT
  바사   사노피와  차세대 폐렴백신  개발,IT
출장비 절감에 화상회의까지     배터리  허리띠 졸라맨다,IT
바이오시밀러 승인 속도전 셀트리온  품목수   개 돌파,IT
유상임 장관  추경 한다면   분야에       중요성 강조,IT
탈중앙화 인터넷 시대 열리나 스페이스코인  첫 인공위성 발사 성공,IT
  반도체 보조금    조원 확정받은 삼성     다음 과제는,IT
   퇴근길    반도체 보조금 깎인  삼성  트럼프 만난  용진이형 ,IT
내년도 공공   사업대가 어떻게      클라우드 맞춤 산정체계 마련 ,IT
유상임    규제 최소화 추경편성시   에 집중 ,IT
 맛보기는 끝     스타트업도 속속 유료화,IT
애플  스마트 도어벨 출시 예정  아마존 구글과 경쟁,IT
 엔비디아  대만에  실리콘밸리 본사 규모  지사 짓는다 ,IT
 에 뺏긴  인도 스마트폰  위  신형 갤럭시 로 탈환 나선다,IT
   한국  중국산 전기차에 관세 물리면 손해볼 것 ,IT
아이폰 안 팔려  애플의 믿을 구석  페이 클라우드 급성장 ,IT
환율     원 시대 개막  당분간 고환율 유지 ,IT
  층 건물만한  크리스마스 소행성  지구로 돌진 충돌 가능성은  핵잼 사이언스 ,IT
오겜 시즌      넷플릭스    콘텐츠 투자 축소 사실무근   정지은의 산업노트 ,IT
의료개혁 비상진료대책으로 건보 재정 고갈 속도 빨라진다,IT
화재난   에너지 울산공장  일주일 가동 중단,IT
 지금 상황 아쉬움 크다  여의도 향한 장관의  일침  왜 ,IT
      소프고 제재 화웨이 대신      거래 ,IT
방심위  홍삼 상품 과도하게 노출한     뉴스에 법정제재,IT
유상임 과기부 장관       비상계엄에  동의 어려웠다 ,IT
 조선소를 잡아라     레인보우로보틱스 뉴로메카  각축전 ,IT
 정시 이월중단       모집정지  의정갈등 해법일까  혼란일까,IT
 갤럭시    슬림 두께는     대    애플과 두께 경쟁,IT
     퀄컴과 라이선스 소송서 판정패    영향력 축소 불가피,IT
    뿐 아니라 데이터도 부족     진화  경고등 ,IT
위기의 석유화학 구하기 결정적 한방은 부족,IT
